REFERENCE CODE,FI_NAME_THAI,FI_NAME_ENGLISH,OPEN_DATE,
001,ธนาคารแห่งประเทศไทย,BANK OF THAILAND,24851210,
002,ธนาคารกรุงเทพ จำกัด (มหาชน),BANGKOK BANK PUBLIC COMPANY LTD.,24871201,
004,ธนาคารกสิกรไทย จำกัด (มหาชน),KASIKORNBANK PUBLIC COMPANY LIMITED,24880608,
006,ธนาคารกรุงไทย จำกัด (มหาชน),KRUNG THAI BANK PUBLIC COMPANY LTD.,25090314,
008,ธนาคารเจพีมอร์แกน เชส,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",24920805,
009,ธนาคารโอเวอร์ซี-ไชนีส แบงกิ้ง คอร์ปอเรชั่น จำกัด,OVER SEA-CHINESE BANKING CORPORATION LIMITED,24520702,
011,ธนาคารทหารไทยธนชาต จำกัด (มหาชน),TMBTHANACHART BANK PUBLIC COMPANY LIMITED,25001108,
014,ธนาคารไทยพาณิชย์ จำกัด (มหาชน),SIAM COMMERCIAL BANK PUBLIC COMPANY LTD.,24490401,
017,ธนาคารซิตี้แบงก์ เอ็น.เอ.,"CITIBANK, N.A.",24660101,
018,ธนาคารซูมิโตโม มิตซุย แบงกิ้ง คอร์ปอเรชั่น,SUMITOMO MITSUI BANKING CORPORATION,24951122,
020,ธนาคารสแตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด (มหาชน),STANDARD CHARTERED BANK (THAI) PUBLIC COMPANY LIMITED,24761011,
022,ธนาคารซีไอเอ็มบี ไทย จำกัด (มหาชน),CIMB THAI BANK PUBLIC COMPANY LIMITED,24920311,
023,ธนาคารอาร์ เอช บี จำกัด,RHB BANK BERHAD,25070228,
024,ธนาคารยูโอบี จำกัด (มหาชน),UNITED OVERSEAS BANK (THAI) PUBLIC COMPANY LIMITED,24821002,
025,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),BANK OF AYUDHYA PUBLIC COMPANY LTD.,24880402,
026,ธนาคารเมกะ สากลพาณิชย์ จำกัด (มหาชน),MEGA  INTERNATIONAL COMMERCIAL BANK PUBLIC COMPANY LIMITED,24901010,
027,ธนาคารแห่งอเมริกา เนชั่นแนล แอสโซซิเอชั่น,"BANK OF AMERICA, NATIONAL ASSOCIATION",24921201,
029,ธนาคารอินเดียน โอเวอร์ซีส์,INDIAN OVERSEA BANK,24901223,
030,ธนาคารออมสิน,GOVERNMENT SAVINGS BANK,24560401,
031,ธนาคารฮ่องกงและเซี่ยงไฮ้แบงกิ้งคอร์ปอเรชั่น จำกัด,THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD.,24311202,
032,ธนาคารดอยซ์แบงก์ เอจี สาขากรุงเทพฯ,DEUTSCHE BANK AG. BANGKOK BRANCH,25210703,
033,ธนาคารอาคารสงเคราะห์,THE GOVERNMENT HOUSING BANK,24960924,
034,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร,BANK FOR AGRICULTURE AND AGRICULTURAL COOPERATIVES,25091101,
035,ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย,EXPORT-IMPORT BANK OF THAILAND,25370217,
039,ธนาคารมิซูโฮ จำกัด สาขากรุงเทพฯ,"MIZUHO BANK, LTD. BANGKOK BRANCH",25450401,
045,ธนาคารบีเอ็นพี พารีบาส์,BNP PARIBAS,25361109,
